dataset,owner,claim,publisher,url,needs_permalink,reason,http_status
"brandFlags.v2","Nestlé","child_labour (direct)","U.S. Supreme Court","https://www.supremecourt.gov/opinions/20pdf/19-416_i4dj.pdf","no","","200"
"brandFlags.v2","Nestlé","child_labour (direct)","U.S. District Court, District of Columbia (via CourtListener)","https://www.courtlistener.com/docket/59248551/coubaly-v-cargill-incorporated/","no","","200"
"brandFlags.v2","Nestlé","child_labour (direct)","U.S. Department of Labor","https://www.dol.gov/agencies/ilab/reports/child-labor/list-of-goods","no","","200"
"brandFlags.v2","Nestlé","child_labour (direct)","Amnesty International","https://www.amnesty.org/en/documents/asa21/5184/2016/en/","no","","200"
"brandFlags.v2","Mars, Inc.","child_labour (direct)","U.S. District Court, District of Columbia (via CourtListener)","https://www.courtlistener.com/docket/59248551/coubaly-v-cargill-incorporated/","no","","200"
"brandFlags.v2","Mars, Inc.","child_labour (direct)","U.S. Department of Labor","https://www.dol.gov/agencies/ilab/reports/child-labor/list-of-goods","no","","200"
"brandFlags.v2","Mars, Inc.","child_labour (direct)","Washington Post","https://www.washingtonpost.com/graphics/2019/business/hershey-nestle-mars-chocolate-child-labor-west-africa/","no","","200"
"brandFlags.v2","The Hershey Company","child_labour (direct)","U.S. District Court, District of Columbia (via CourtListener)","https://www.courtlistener.com/docket/59248551/coubaly-v-cargill-incorporated/","no","","200"
"brandFlags.v2","The Hershey Company","child_labour (direct)","U.S. Department of Labor","https://www.dol.gov/agencies/ilab/reports/child-labor/list-of-goods","no","","200"
"brandFlags.v2","The Hershey Company","child_labour (direct)","Washington Post","https://www.washingtonpost.com/graphics/2019/business/hershey-nestle-mars-chocolate-child-labor-west-africa/","no","","200"
"brandFlags.v2","Mondelēz International","child_labour (direct)","U.S. District Court, District of Columbia (via CourtListener)","https://www.courtlistener.com/docket/59248551/coubaly-v-cargill-incorporated/","no","","200"
"brandFlags.v2","Mondelēz International","child_labour (direct)","U.S. Department of Labor","https://www.dol.gov/agencies/ilab/reports/child-labor/list-of-goods","no","","200"
"brandFlags.v2","Mondelēz International","child_labour (direct)","Oxfam International","https://www.oxfam.org/en/research/behind-brands","no","","200"
"brandFlags.v2","Ferrero Group","child_labour (direct)","U.S. Department of Labor","https://www.dol.gov/agencies/ilab/reports/child-labor/list-of-goods","no","","200"
"brandFlags.v2","Ferrero Group","child_labour (direct)","BBC","https://www.bbc.com/news/stories-49741675","no","","200"
"brandFlags.v2","Ferrero Group","child_labour (direct)","Business & Human Rights Resource Centre","https://www.business-humanrights.org/en/latest-news/turkey-investigation-links-ferrero-to-exploitation-of-hazelnut-pickers-child-labour-low-pay-long-hours-includes-comments-from-ferrero/","no","","200"
"brandFlags.v2","Lindt & Sprüngli AG","child_labour (direct)","Lindt & Sprüngli AG","https://www.lindt-spruengli.com/sustainability","no","","200"
"brandFlags.v2","Lindt & Sprüngli AG","child_labour (direct)","Swiss TV Rundschau (SRF)","https://www.srf.ch/news/schweiz/lindt-spruengli-in-schweizer-schoggi-steckt-kinderarbeit","no","","200"
"brandFlags.v2","Lindor (Lindt sub-brand)","child_labour (direct)","Lindt & Sprüngli AG","https://www.lindt-spruengli.com/sustainability","no","","200"
"brandFlags.v2","Lindor (Lindt sub-brand)","child_labour (direct)","Swiss TV Rundschau (SRF)","https://www.srf.ch/news/schweiz/lindt-spruengli-in-schweizer-schoggi-steckt-kinderarbeit","no","","200"
"brandFlags.v2","Ghirardelli Chocolate Company (Lindt sub-brand)","child_labour (direct)","Lindt & Sprüngli AG","https://www.lindt-spruengli.com/sustainability","no","","200"
"brandFlags.v2","Ghirardelli Chocolate Company (Lindt sub-brand)","child_labour (direct)","Swiss TV Rundschau (SRF)","https://www.srf.ch/news/schweiz/lindt-spruengli-in-schweizer-schoggi-steckt-kinderarbeit","no","","200"
"brandFlags.v2","Russell Stover Chocolates (Lindt sub-brand)","child_labour (direct)","Lindt & Sprüngli AG","https://www.lindt-spruengli.com/sustainability","no","","200"
